C1,C2,C3,C4,C5,C6,Tarih
Nötr,Sohbet,Kimse yok,Bilmiyorum,Hayır,Bilmiyorum,Mon Feb 22 2021 20:03:34 GMT+0300 (+03)
Mutsuz,İş,Meslektaş,Evet,Evet,Hayır,Tue Feb 23 2021 10:02:49 GMT+0300 (+03)
Heyecanlı,İş,Meslektaş,Bilmiyorum,Evet,Hayır,Tue Feb 23 2021 12:02:21 GMT+0300 (+03)
Yorgun,İş,Meslektaş,Bilmiyorum,Evet,Hayır,Tue Feb 23 2021 14:02:25 GMT+0300 (+03)
Endişeli,İş,Meslektaş,Evet,Evet,Hayır,Tue Feb 23 2021 16:15:02 GMT+0300 (+03)
Yorgun,İş,Meslektaş,Bilmiyorum,Evet,Hayır,Tue Feb 23 2021 18:09:38 GMT+0300 (+03)
Nötr,Sohbet,Aile Üyeleri,Hayır,Bilmiyorum,Hayır,Tue Feb 23 2021 20:16:55 GMT+0300 (+03)
İyi,Müzik Dinlemek,Kimse yok,Hayır,Hayır,Bilmiyorum,Wed Feb 24 2021 10:12:03 GMT+0300 (+03)
Enerjik,Diğer,Kimse yok,Hayır,Hayır,Bilmiyorum,Wed Feb 24 2021 12:04:34 GMT+0300 (+03)
Mutsuz,Diğer,Kimse yok,Evet,Evet,Hayır,Wed Feb 24 2021 14:17:15 GMT+0300 (+03)
Diğer,Çalışma,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Hayır,Wed Feb 24 2021 16:03:09 GMT+0300 (+03)
Yorgun,Diğer,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Hayır,Wed Feb 24 2021 18:25:09 GMT+0300 (+03)
Nötr,Sohbet,Aile Üyeleri,Hayır,Bilmiyorum,Hayır,Wed Feb 24 2021 20:18:51 GMT+0300 (+03)
Nötr,İş,Meslektaş,Hayır,Bilmiyorum,Bilmiyorum,Thu Feb 25 2021 10:03:09 GMT+0300 (+03)
Nötr,Yeme / İçme,Meslektaş,Hayır,Evet,Bilmiyorum,Thu Feb 25 2021 12:02:33 GMT+0300 (+03)
Yorgun,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Fri Feb 26 2021 19:58:13 GMT+0300 (+03)
Rahat,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Sat Feb 27 2021 10:21:33 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Feb 27 2021 12:04:47 GMT+0300 (+03)
Enerjik,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Feb 27 2021 14:03:14 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 27 2021 16:02:24 GMT+0300 (+03)
Yorgun,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 27 2021 18:03:10 GMT+0300 (+03)
